epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,909.101,2.00137,2.12904,0.00334,0.61447,0.47725,0.522,0.25949,1.8319,1.33057,0.00427,0.00999543,0.00333181,0.00999543,0.00333181,0.00999543,0.00333181,0.00999543,0.00333181
2,1692.08,1.95663,1.36312,0.0032,0.6531,0.5262,0.57673,0.28487,1.80399,1.24002,0.00413,0.0197975,0.00659916,0.0197975,0.00659916,0.0197975,0.00659916,0.0197975,0.00659916
3,2371.57,1.96504,1.3278,0.00327,0.64608,0.52199,0.57193,0.28212,1.83466,1.24006,0.00432,0.0294015,0.00980051,0.0294015,0.00980051,0.0294015,0.00980051,0.0294015,0.00980051
4,3054.78,1.97541,1.31714,0.0033,0.65813,0.53884,0.5942,0.29504,1.80651,1.17803,0.00417,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3737.58,1.95558,1.27352,0.00323,0.68247,0.55893,0.62077,0.31149,1.78215,1.13118,0.00407,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4416.72,1.9411,1.25205,0.00318,0.6957,0.56583,0.63063,0.31813,1.76583,1.11799,0.00399,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5091.71,1.9281,1.23382,0.00315,0.69706,0.57739,0.6412,0.32577,1.75357,1.10226,0.00394,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5782.33,1.92077,1.21742,0.00312,0.70232,0.58646,0.65009,0.33073,1.74863,1.08655,0.00391,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6463.22,1.90981,1.20864,0.00312,0.70776,0.58771,0.65418,0.33382,1.74099,1.07918,0.00389,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7140.26,1.91074,1.20313,0.00309,0.70849,0.5924,0.65852,0.33678,1.73654,1.07038,0.00387,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7817.91,1.90238,1.19415,0.00308,0.70878,0.59575,0.66157,0.33918,1.73319,1.06633,0.00386,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8497.89,1.89767,1.18532,0.00306,0.71112,0.59961,0.66417,0.34129,1.73087,1.06052,0.00385,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,9173.78,1.90069,1.187,0.00306,0.71361,0.60006,0.66545,0.34251,1.72843,1.05746,0.00384,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9852.05,1.89558,1.17958,0.00305,0.71497,0.59999,0.66729,0.34369,1.72572,1.05532,0.00383,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10530.7,1.89106,1.17855,0.00305,0.71704,0.60051,0.66876,0.34459,1.72385,1.05354,0.00382,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,11208,1.89159,1.17321,0.00303,0.71785,0.60135,0.66938,0.34504,1.72304,1.05194,0.00382,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,11887.4,1.88565,1.17045,0.00303,0.71716,0.6022,0.66962,0.34558,1.72178,1.0506,0.00382,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,12565.6,1.89054,1.16868,0.00302,0.71535,0.60471,0.67028,0.34606,1.72083,1.04954,0.00381,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,13242.9,1.88555,1.16439,0.00302,0.71653,0.60401,0.67047,0.34637,1.72005,1.04798,0.00381,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,13918.8,1.88732,1.16554,0.00301,0.71728,0.60361,0.67083,0.34668,1.719,1.04717,0.00381,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,14593.2,1.88334,1.15757,0.00301,0.71579,0.6049,0.67122,0.34709,1.71792,1.04631,0.0038,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,15273.8,1.88406,1.15845,0.00301,0.71859,0.60345,0.67169,0.3474,1.71677,1.04526,0.0038,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,15954.6,1.88451,1.15808,0.00301,0.71988,0.6023,0.67217,0.34779,1.71641,1.04468,0.0038,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,16640.9,1.87962,1.15666,0.003,0.72024,0.60319,0.67268,0.34826,1.71573,1.04323,0.0038,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,17324.8,1.87944,1.151,0.003,0.71989,0.60404,0.67316,0.34865,1.71509,1.04243,0.0038,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,18006.4,1.87674,1.14906,0.00299,0.72047,0.60448,0.67348,0.34891,1.71458,1.04132,0.0038,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,18688.3,1.87367,1.14772,0.00299,0.72209,0.60409,0.67416,0.34932,1.71382,1.04064,0.0038,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,19363,1.87607,1.1474,0.00298,0.72367,0.60414,0.67477,0.34972,1.71341,1.03952,0.00379,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,20041.2,1.87894,1.14867,0.00298,0.72356,0.60408,0.67532,0.35013,1.71299,1.03838,0.00379,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,20718.3,1.87481,1.14625,0.00299,0.72286,0.60502,0.67572,0.35056,1.71221,1.03736,0.00379,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,21390.6,1.87638,1.14364,0.00298,0.72304,0.60628,0.67637,0.35095,1.71173,1.03666,0.00379,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,22065.7,1.8718,1.139,0.00297,0.72509,0.6061,0.67695,0.35131,1.71111,1.03575,0.00379,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,22739,1.87231,1.14048,0.00297,0.72502,0.6071,0.67747,0.35177,1.71037,1.03506,0.00379,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,23414.5,1.87022,1.1391,0.00297,0.72598,0.60672,0.6779,0.35202,1.71005,1.03368,0.00379,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,24086,1.86564,1.13802,0.00296,0.7253,0.60732,0.67823,0.35244,1.70936,1.03302,0.00378,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,24762.2,1.87078,1.13779,0.00296,0.72804,0.60499,0.67848,0.35252,1.70867,1.03242,0.00378,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,25436.4,1.86537,1.13295,0.00297,0.72971,0.60528,0.67922,0.35304,1.7085,1.03071,0.00378,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,26107.9,1.86696,1.13241,0.00297,0.72967,0.60519,0.67973,0.35345,1.70796,1.02969,0.00378,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,26779.6,1.86653,1.13275,0.00295,0.73002,0.60564,0.68025,0.35373,1.70737,1.02866,0.00378,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,27451.1,1.86606,1.12804,0.00295,0.73012,0.6064,0.68096,0.35411,1.70704,1.02712,0.00378,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,28127.1,1.86347,1.12999,0.00295,0.73038,0.60669,0.68128,0.35445,1.70674,1.02611,0.00377,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,28801.3,1.86412,1.13049,0.00295,0.73026,0.60699,0.68179,0.35477,1.70633,1.02543,0.00377,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,29471.9,1.85804,1.12227,0.00295,0.73159,0.60725,0.68221,0.35498,1.70583,1.02466,0.00377,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,30141.9,1.85947,1.12427,0.00294,0.73057,0.60842,0.68269,0.35541,1.70521,1.02391,0.00377,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,30812.5,1.8572,1.12464,0.00294,0.73211,0.60799,0.68315,0.35569,1.70452,1.02301,0.00376,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,31481,1.8572,1.12503,0.00295,0.73205,0.60825,0.68361,0.35599,1.70406,1.02193,0.00376,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,32154.8,1.85908,1.12212,0.00293,0.73348,0.60852,0.68436,0.35646,1.70337,1.02119,0.00376,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,32827.2,1.85624,1.11703,0.00293,0.73548,0.60803,0.68484,0.35669,1.70271,1.02033,0.00376,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,33500.6,1.84981,1.11639,0.00292,0.73556,0.60877,0.68534,0.35687,1.70231,1.01981,0.00376,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
